"country_id","country"
1,"Afghanistan"
10,"Azerbaijan"
11,"Bahrain"
19,"Cameroon"
51,"Kazakstan"
55,"Liechtenstein"
72,"Pakistan"
79,"Runion"
80,"Russian Federation"
90,"Sweden"
92,"Taiwan"
98,"Turkmenistan"
